id	char
2280	隸
2281	隻
2282	雀
2283	雁
2284	雄
2285	雅
2286	集
2287	雕
2288	雖
2289	雙
2290	雛
2291	雜
2292	離
2293	難
2294	雨
2295	雪
2296	雲
2297	零
2298	雷
2299	電
2300	需
2301	震
2302	霍
2303	霓
2304	霜
2305	霧
2306	露
2307	霸
2308	霾
2309	靈
2310	青
2311	靚
2312	靜
2313	非
2314	靠
2315	鞋
2316	鞠
2317	鞦
2318	韆
2319	韓
2320	音
2321	韻
2322	響
2323	頁
2324	頂
2325	頃
2326	項
2327	順
2328	須
2329	預
2330	頑
2331	頒
2332	領
2333	頤
2334	頭
2335	頰
2336	頹
2337	頻
2338	顆
2339	題
2340	顏
2341	顔
2342	願
2343	顛
2344	類
2345	顧
2346	顯
2347	風
2348	颱
2349	颳
2350	飄
2351	飆
2352	飛
2353	食
2354	飢
2355	飯
2356	飲
2357	飽
2358	飾
2359	餃
2360	餅
2361	養
2362	餐
2363	餓
2364	餘
2365	館
2366	饒
2367	首
2368	香
2369	馨
2370	馬
2371	馭
2372	馴
2373	駁
2374	駕
2375	騎
2376	騰
2377	騷
2378	驕
2379	驚
2380	驟
2381	驢
2382	骨
2383	骯
2384	骷
2385	髏
2386	髒
2387	體
2388	高
2389	鬆
2390	鬍
2391	鬢
2392	鬥
2393	鬧
2394	鬱
2395	鬼
2396	魂
2397	魄
2398	魅
2399	魏
2400	魔
2401	魚
2402	魯
2403	鮮
2404	鯉
2405	鰍
2406	鱉
2407	鱗
2408	鳥
2409	鳩
2410	鳳
2411	鳴
2412	鳶
2413	鴉
2414	鴿
2415	鵝
2416	鷗
2417	鷹
2418	鹹
2419	鹿
2420	麗
2421	麥
2422	麯
2423	麵
2424	麻
2425	麼
2426	黃
2427	黎
2428	黏
2429	黑
2430	默
2431	點
2432	黯
2433	鼓
2434	鼕
2435	鼠
2436	鼻
2437	齁
2438	齊
2439	齒
2440	齣
2441	龍
2442	龐
2443	龜
2444	：
